variable,axis,label,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2008,2012,2016,2020,2024
VCF0803,economic,lib-cons 7-pt self-placement (1=ex-lib..7=ex-cons),1633,1425,1317,1824,1400,1329,1018,673,1245,920,1626,5300,3303,7056,4732
VCF0809,economic,guaranteed jobs/income (1=govt..7=self-reliance),1009,1725,1692,2164,1652,1553,1122,909,0,1103,1024,5476,3773,7322,4987
VCF0839,economic,services-spending (1=fewer/cons..7=more/lib) REVERSED,1965,1615,1635,2017,1567,1466,1177,856,0,1060,953,5241,3627,7067,4751
VCF0838,cultural,abortion 4-pt (1=never/cons..4=personal/lib) REVERSED,2120,1996,1932,2406,1730,1679,1258,1758,0,1047,1031,5855,4207,7900,5021
VCF0830,cultural,aid to blacks (1=govt-help..7=self-help),1950,1781,1779,2229,1654,1562,1155,924,0,1073,1923,5188,3753,7403,4782
VCF0852,cultural,adjust moral views to changes (1=agree-lib..5=disagree-cons),2145,1754,965,2231,1760,1526,1264,1548,0,1064,2096,5497,3639,7390,4719
VCF0853,cultural,more emphasis on traditional values (1=agree-cons..5=disagree-lib) REVERSED,2151,1753,968,2232,1758,1524,1268,1548,0,1064,2093,5490,3634,7391,4721
VCF0806,economic,govt health insurance (1=govt-plan..7=private),0,1707,0,2140,1637,1536,0,935,0,1112,1044,5471,3765,7352,5023
VCF0834,cultural,women equal role (1=equal..7=home),0,1908,901,2364,1650,1645,1222,978,0,1157,1116,0,0,0,0
VCF0894,economic?,federal spending welfare (1=incr..3=decr),0,0,0,2398,1732,1694,0,1775,1329,1190,2275,5848,4228,8223,5223
