year,n_dem,n_rep,ovl_2d,raw_separation,scaled_separation,wasserstein_econ,wasserstein_cult,dip_econ,dip_econ_pval,dip_cult,dip_cult_pval,ovl_2d_ma3,raw_separation_ma3,scaled_separation_ma3,wasserstein_econ_ma3,wasserstein_cult_ma3,dip_econ_ma3,dip_cult_ma3
1986,363,279,0.6047740988731385,0.3431728510003783,0.9571728377814794,0.32089549782609417,0.12162929391668395,0.061111111111111054,0.0,0.02499999999999997,0.0033819709398958953,,,,,,,
1988,438,483,0.5705515726089478,0.4272679549654436,1.2085601159570705,0.37559362306235444,0.20368440209119187,0.05630630630630626,0.0,0.024524524524524517,0.00028789631256020964,0.5989847654342652,0.379775191987297,1.0626941396753324,0.3406887738218831,0.1662454914033553,0.058892225558892175,0.026281837392948492
1990,264,238,0.6216286248207094,0.368884769996069,1.0223494652874479,0.32557720057720063,0.17342277820219,0.05925925925925923,0.0,0.02932098765432098,0.0023975211409582586,0.5675049468040467,0.4330822876753917,1.2154707502670654,0.3695571467062538,0.22404813237971402,0.058033436255994116,0.026130779991135805
1992,624,572,0.510334642982483,0.5030941380646625,1.415502669556678,0.4075006164792063,0.29503721684576023,0.05853474320241687,0.0,0.024546827794561913,9.907325625446717e-06,0.5512291537284852,0.46138806425824036,1.2913848893973567,0.37892685235844764,0.2612236063556591,0.05825373852547671,0.026289271816294296
1994,532,594,0.5217241933822633,0.5121852847139895,1.4363025333479447,0.4037027400189359,0.3152108240190271,0.05696721311475403,0.0,0.024999999999999984,1.8743316590130732e-05,0.49705732040405287,0.5185791483725917,1.4791622685046273,0.41870024760911934,0.30570166459101933,0.05612252298846407,0.024914818751019974
1996,489,458,0.4591131248474122,0.5404580223391229,1.5856816026092597,0.44489738632921577,0.30685695290827064,0.05286561264822131,0.0,0.025197628458498024,0.0001341040342242028,0.5048748825073243,0.5150760176001625,1.4600213868724758,0.40764973204749805,0.31407596733361864,0.05591748250412809,0.024021746917214065
1998,436,344,0.5337873292922974,0.49258474574737504,1.3580800246602234,0.37434906979434246,0.3201601250735581,0.05791962174940894,0.0,0.021867612293144184,0.007266845028763291,0.4830355041503907,0.5045967417008738,1.44514912970656,0.4023742968286986,0.3036805685333526,0.05720724543292364,0.025827830567404175
2000,123,119,0.4562060583114625,0.4807474570161235,1.3916857618501972,0.3878764343625376,0.28402462761822916,0.06083650190114065,3.209400195602896e-07,0.030418250950570314,0.0867274587818534,0.4566221986770631,0.5529122572839357,1.5491816397533238,0.42878996048430285,0.3486105927091194,0.055063955540812365,0.025711753611358645
2004,303,311,0.3798732084274293,0.6854045690883084,1.8977791327495508,0.5241443772960286,0.4416470254355709,0.04643574297188751,0.0,0.024849397590361425,0.006243825644256296,0.4039985549926759,0.6248634403611582,1.7291442596062243,0.4986668908678114,0.3755785542209236,0.05213672530250363,0.02618117020329908
2008,318,212,0.3759163982391358,0.7084382949790426,1.897967884218925,0.5839798609448682,0.401064009608971,0.049137931034482725,0.0,0.023275862068965505,0.03218905535628802,0.3568124796867371,0.7342019185906407,2.0458824474609165,0.576234710762979,0.45378064490778813,0.04700940648697188,0.024180996896209398
2012,1975,1551,0.3146478323936463,0.8087628917045709,2.3419003254142736,0.6205798940480403,0.5186308996788224,0.04545454545454543,0.0,0.024417731029301268,0.0,0.3202923003673554,0.8199706177489577,2.282722129952119,0.635467270882364,0.5163588175062779,0.04513913077131465,0.0230995104566239
2016,1068,1095,0.2703126704692841,0.9427106665632593,2.608298180223158,0.7018420576541835,0.6293815432310402,0.0408249158249158,0.0,0.02160493827160493,0.0,0.2617893071651459,0.9662272817139933,2.7162520797256655,0.7202234506132325,0.6437426377839542,0.04081641667997451,0.021784359941008854
2020,2443,2159,0.20040741863250736,1.1472082868741493,3.1985577335395656,0.8382484001374737,0.783215470442,0.0361697887604623,0.0,0.019330410522120367,0.0,0.2416225301742554,1.048705349316603,2.9125399795481273,0.7666700964391016,0.7153774641938542,0.037517677573375145,0.020801836303391205
2024,1660,1418,0.25414750142097475,1.0561970945124,2.9307640248816598,0.7599198315256473,0.7335353789085224,0.03555832813474733,0.0,0.021470160116448322,0.0,,,,,,,
