seed,decade,wasserstein,corr_xy,var_x,var_y,mean_abs_x,mean_abs_y,n_local_max,q_ll,q_lr,q_ul,q_ur,degraded
0,1980,0.32622809081460225,0.5634420758191914,0.11315648153563412,0.08416864743395609,0.3043171879720279,0.244018280792324,4,0.312,0.136,0.144,0.408,False
0,1990,0.3763649076540944,0.6241228734565561,0.09336620244202001,0.056381167023707095,0.2828434528523768,0.20434815643336032,3,0.308,0.116,0.148,0.428,False
0,2000,0.39897484706472514,0.6458836966082602,0.09457681986837468,0.04436015042893066,0.28350483769825474,0.17930609619998067,2,0.316,0.144,0.12,0.42,False
0,2010,0.39384904985369845,0.6053449460011902,0.11585776284263577,0.05697157561063958,0.31415029168290426,0.19821256298655207,2,0.32,0.132,0.128,0.42,False
0,2020,0.401740172631229,0.639447516324103,0.1350872623715151,0.05333102650445777,0.3414001691737477,0.19885399756956423,2,0.324,0.116,0.12,0.44,False
1,1980,0.3258396585649378,0.6246648950963565,0.11688926162845398,0.08545812829499047,0.305054294388921,0.23617484420858315,4,0.372,0.092,0.144,0.392,False
1,1990,0.39645505837794126,0.731960638584771,0.09553698090508914,0.05240768254544564,0.28543256315027765,0.18875446603373008,3,0.36,0.092,0.18,0.368,False
1,2000,0.42211426429036336,0.6698402700462671,0.09247296707801818,0.043884339731195855,0.27498596173324596,0.1696975789557543,2,0.412,0.096,0.148,0.344,False
1,2010,0.3772388698964392,0.6320812529180576,0.11583506349278128,0.04543927594433508,0.3091816283519257,0.17694613212711563,2,0.436,0.076,0.132,0.356,False
1,2020,0.4097655463549607,0.7031725227563529,0.13703869822848755,0.04963742005608239,0.3409093929856084,0.18894949919537907,2,0.412,0.052,0.14,0.396,False
2,1980,0.32023418080136207,0.5823813591017076,0.10954893989462916,0.07058038260886278,0.2927691426378109,0.222307093633371,3,0.372,0.08,0.144,0.404,False
2,1990,0.386152758115023,0.7256778139774471,0.0924306796066376,0.05001884222352633,0.2796730683184185,0.1940075380133715,2,0.364,0.064,0.14,0.432,False
2,2000,0.3985538162250096,0.7031556628032746,0.09594802328646425,0.049094509092958524,0.2799752693285767,0.18772352076020446,2,0.372,0.072,0.124,0.432,False
2,2010,0.37896101953367545,0.6850665447066605,0.11742822468703484,0.04963648243856329,0.30711946604442614,0.18966245361772355,2,0.364,0.064,0.14,0.432,False
2,2020,0.39132162170432,0.7362245963547718,0.13475982748962972,0.054849973865961334,0.3330170725894963,0.19921007467694324,2,0.408,0.044,0.12,0.428,False
3,1980,0.3511572097407676,0.5333278583045628,0.10440555825261655,0.08101320460957538,0.29131164612453725,0.2341471220759401,3,0.336,0.096,0.144,0.424,False
3,1990,0.3859268747780202,0.6903423633758781,0.09495659566754813,0.050761767442284035,0.28546959880855866,0.19348662075460626,3,0.356,0.088,0.124,0.432,False
3,2000,0.4370216629326564,0.6741294653218917,0.09689144960873164,0.04596226727875648,0.2916117505554566,0.18157165508841203,2,0.372,0.096,0.1,0.432,False
3,2010,0.3790025440101403,0.6928518587894713,0.12798192627545424,0.050382490214910564,0.33173385453857374,0.1863953781524022,2,0.404,0.064,0.104,0.428,False
3,2020,0.3899044996521584,0.7216738540143084,0.1613502229790937,0.059349800361675246,0.37449073624431667,0.20686592610660245,2,0.44,0.064,0.096,0.4,False
4,1980,0.338356475090564,0.6440726267520038,0.11639666657734804,0.07916294665516534,0.3062932755117611,0.24037831003338947,3,0.292,0.096,0.124,0.488,False
4,1990,0.3657820343600092,0.7031089586505123,0.09348566109982323,0.05241020461987779,0.289831648664142,0.20526693117308237,3,0.3,0.104,0.108,0.488,False
4,2000,0.41549472570545215,0.6812270060503496,0.09408147778949515,0.04294663344298805,0.2969508912116167,0.18582577287568783,2,0.276,0.1,0.116,0.508,False
4,2010,0.4409283416913143,0.6375850491183794,0.12742500089304754,0.048729334065580755,0.3445928818916838,0.19410726601002468,2,0.284,0.08,0.104,0.532,False
4,2020,0.43689431756567865,0.7063360523510599,0.14803442836977407,0.05598069697302485,0.3663916205796121,0.2060828668482765,2,0.308,0.052,0.096,0.544,False
5,1980,0.3227191864426055,0.5864296227955205,0.1274160066454784,0.08137848169532944,0.3170127707933759,0.24096717264420311,4,0.388,0.128,0.14,0.344,False
5,1990,0.36154173052489524,0.7290086648185004,0.10185578633121076,0.052630162108476486,0.29520747448302653,0.19243421478718403,2,0.42,0.088,0.14,0.352,False
5,2000,0.3688644033472571,0.6713011317502144,0.09903573945399886,0.047003861505535906,0.2859805094548597,0.18143033763503838,2,0.396,0.072,0.152,0.38,False
5,2010,0.41333057255142724,0.613031783029166,0.12379245754216779,0.047848350208853176,0.312504370765693,0.18266710696125593,3,0.38,0.104,0.172,0.344,False
5,2020,0.36803215022711777,0.6395665638451954,0.13574622005210737,0.057222389741712475,0.3298001092946451,0.19976218309284074,2,0.368,0.096,0.184,0.352,False
6,1980,0.3349526163303474,0.5503266545228517,0.11746191303343478,0.06977219484465925,0.308092461769351,0.2244240209740413,4,0.324,0.096,0.156,0.424,False
6,1990,0.3807426813149784,0.7273131583378569,0.10041003875316115,0.04662308581187436,0.29716487640306904,0.1878968898107769,3,0.356,0.072,0.152,0.42,False
6,2000,0.3819692498107497,0.6609489238573073,0.10553110319042087,0.046903423222286515,0.2994837057902329,0.1809494581535519,2,0.376,0.072,0.132,0.42,False
6,2010,0.41791846459703585,0.675313199347075,0.1270296444903852,0.04560156007250079,0.32798456231875567,0.17913895651203926,2,0.368,0.068,0.128,0.436,False
6,2020,0.393103682549434,0.7153810337513049,0.15136535988214866,0.05035115179527077,0.35927602382770063,0.18649412164973855,3,0.4,0.06,0.128,0.412,False
7,1980,0.3715462636023601,0.558698806538854,0.11921028088351357,0.0762060293539191,0.3107412474738868,0.23347484269945215,3,0.336,0.1,0.16,0.404,False
7,1990,0.34505375232414076,0.6411361804169646,0.09864444272693473,0.059656374046489755,0.2906005470838673,0.20355138930760272,3,0.352,0.084,0.152,0.412,False
7,2000,0.42096575925947904,0.6806995390838118,0.08952873559306293,0.045419390017902926,0.26937369205937317,0.17881670766089217,2,0.376,0.06,0.128,0.436,False
7,2010,0.4047617467051577,0.6383638644365619,0.1095299335944616,0.048057605472416526,0.2945317528344101,0.18125456420384742,2,0.348,0.092,0.156,0.404,False
7,2020,0.3841612367114367,0.6586135484136704,0.13055608134263305,0.051648072587437456,0.3244776125140154,0.18955645654743797,2,0.376,0.056,0.168,0.4,False
8,1980,0.33582057613755967,0.5786862251819833,0.11042113873256323,0.07456057301669373,0.2909688592303642,0.22403284031089707,3,0.292,0.116,0.168,0.424,False
8,1990,0.3801991673855686,0.6506703919785896,0.09187238058964348,0.049925556250506604,0.275836417600328,0.18720401200932918,3,0.316,0.104,0.144,0.436,False
8,2000,0.36238874893688366,0.6730226974885186,0.103679852826525,0.04421058511002892,0.29421443784875906,0.17719353588196615,2,0.356,0.084,0.112,0.448,False
8,2010,0.41602581383230913,0.672163292697957,0.12915557631754046,0.04571497774832216,0.3304263495544461,0.17883879119740295,2,0.364,0.064,0.108,0.464,False
8,2020,0.4265399614783145,0.7605839235248467,0.14667518890112582,0.052459379699905044,0.35248612816970154,0.19596279385156096,2,0.372,0.044,0.116,0.468,False
